iter	RMSE
0	1.085703446
1	1.005173201
2	0.9355522514
3	0.8718399858
4	0.8173079573
5	0.7655634554
6	0.7205186701
7	0.6804639227
8	0.6458529221
9	0.6139353863
10	0.5867451636
11	0.5630274976
12	0.538726176
13	0.5184049151
14	0.4997549278
15	0.4837653558
16	0.4687797442
17	0.4542293361
18	0.4421456997
19	0.4322091629
20	0.4215064782
21	0.4132540495
22	0.4046692954
23	0.397791073
24	0.3919944811
25	0.3861109428
26	0.3800120396
27	0.3747922464
28	0.368804506
29	0.364778127
30	0.3616867158
31	0.3581353381
32	0.3552439341
33	0.3511525076
34	0.3474658764
35	0.344361634
36	0.3416493158
37	0.3390705199
38	0.3370012292
39	0.3352683622
40	0.3326873425
41	0.3309189929
42	0.3292553295
43	0.3273412624
44	0.3255132909
45	0.323868965
46	0.3227735283
47	0.3214942709
48	0.3199938854
49	0.3181998291
50	0.3170480512
51	0.3156218456
52	0.3143455806
53	0.3133283541
54	0.3121856763
55	0.3113828716
56	0.3100307068
57	0.30879839
58	0.3079701193
59	0.3070941056
60	0.3063772383
61	0.3056861431
62	0.3047466585
63	0.3037124772
64	0.3030038205
65	0.3023452325
66	0.3015915087
67	0.3006878712
68	0.3000067649
69	0.2993870447
70	0.2988294806
71	0.2983940645
72	0.2976634539
73	0.2972448681
74	0.296753977
75	0.2959752263
76	0.295220921
77	0.2947761455
78	0.2941501603
79	0.2936518407
80	0.2932670789
81	0.292669362
82	0.2922408219
83	0.291888301
84	0.2913592174
85	0.2908246623
86	0.2904779563
87	0.2899723254
88	0.2894782799
89	0.2892193764
90	0.2885076442
91	0.2882371457
92	0.2876352103
93	0.2871848438
94	0.2868061169
95	0.2865249209
96	0.2861255775
97	0.285622761
98	0.2852827561
99	0.2849375583
100	0.2846166756
101	0.2842086379
102	0.2839799841
103	0.2836815452
104	0.2834046808
105	0.2831295787
106	0.2827028336
107	0.282511769
108	0.2821108321
109	0.2817615655
110	0.2814796562
111	0.2811540059
112	0.2807654286
113	0.2805896831
114	0.2802983727
115	0.2799622561
116	0.2797073448
117	0.279331467
118	0.279078642
119	0.278875859
120	0.278587272
121	0.2782629421
122	0.2780123204
123	0.2777309238
124	0.2774973523
125	0.2772220523
126	0.2768033807
127	0.2765267586
128	0.2762318261
129	0.2759349447
130	0.2756559285
131	0.275400427
132	0.2752574962
133	0.2750594643
134	0.2748903308
135	0.2747242643
136	0.2744709175
137	0.2742467731
138	0.2740060242
139	0.273853692
140	0.2737188111
141	0.2734274934
142	0.2731593012
143	0.2729499711
144	0.2726284365
145	0.2724211591
146	0.2723192401
147	0.2720974368
148	0.2717658928
149	0.2715606295
150	0.2714340782
151	0.2712068745
152	0.2711599841
153	0.2709821681
154	0.2707099531
155	0.2705477448
156	0.2703706862
157	0.2702758392
